uuid,group,1,2,3_1,3_2,3_3,4,
592c0dc1836547219e897714,A,5,Python,5,5,3,5
592c0e1c836547219e897716,B,4,Java,5,2,1,2
592c0e3a836547219e897717,B,7,Java,10,1,5,4
592c10b6836547219e897719,A,6,Python,5,5,5,4
592c162f836547219e89771d,A,7,Python,7,7,2,6
592c2ee3836547219e897724,B,6,Java,6,1,3,2
592c36d0d78c9a362ea2e2e6,A,5,PL/SQL,5,1,5,5
592c4b7ed78c9a362ea2e2e7,B,3,C or Python,2,3,1,2
592c4c8bd78c9a362ea2e2e8,B,5,java,3,1,1,3
592c5f4545e6163b450c914d,A,8,Java,8,1,1,3
592c60ca45e6163b450c914e,A,7,Java,9,6,5,5
592cb63645e6163b450c9150,B,3,C,2,3,3,2
592d10e045e6163b450c9151,A,7,java,6,4,3,5
592d122a45e6163b450c9152,A,6,C#,6,4,2,4
592d33ad45e6163b450c9155,B,5,Java,5,1,3,8
592d348245e6163b450c9156,B,7,Java,8,3,6,5
592d3dd745e6163b450c9157,A,4,Python,2,5,1,3
592d4a9945e6163b450c9158,B,9,Python Java C/C++,9,9,3,6
592d5e4445e6163b450c915b,A,6,C Java Python,5,5,1,6
592d5e5345e6163b450c915c,A,6,c#,6,5,5,6
592d5f6c45e6163b450c915d,A,10,CC++R,7,3,1,8
592d602e45e6163b450c915f,A,8,python,8,8,7,7
592d641845e6163b450c9164,B,6,Java,7,7,3,4
592d660e45e6163b450c9165,B,7,JavaScript,7,6,7,4
592d6add45e6163b450c9168,B,8,Javascript,7,6,9,5
592d6f2f45e6163b450c916a,B,10,C#,7,7,6,8
592d6f8445e6163b450c916b,B,7,JavaScript,2,2,8,6
592d738445e6163b450c916d,A,7,C++,4,7,5,6
592d8e3345e6163b450c916e,A,7,Java,9,5,8,4
592d90dd45e6163b450c916f,A,2,C,1,2,3,1
592e926845e6163b450c9174,B,9,Scala,9,9,9,8
592e95af45e6163b450c9175,A,8,Java,8,2,6,8
592ea8a945e6163b450c9179,B,3,C++,1,3,1,3
592eaefb45e6163b450c917a,A,7,Python,5,9,4,8
592eb8b545e6163b450c917b,B,7,C#,4,3,7,7
592eb9fd45e6163b450c917c,B,7,PHP,2,5,5,8
592ebdb745e6163b450c917d,A,8,D,8,8,5,8
592ec16345e6163b450c9180,A,8,Swift,6,3,2,5
592ec28245e6163b450c9181,A,8,TypeScript,7,4,8,6
592ec38645e6163b450c9182,B,8,That's super dependent on the given problem but let's say C++,5,8,8,8
592ec91445e6163b450c9186,B,4,PHP,3,2,5,2
592eca7945e6163b450c9187,B,4,C++,4,6,3,3
592ecae345e6163b450c9188,B,10,JavaScript,3,7,10,8
592fbc0845e6163b450c918e,A,4,C#,5,1,4,3
592fe8c145e6163b450c918f,A,10,Go,10,10,1,6
592fec3c45e6163b450c9191,A,5,Swift,7,2,1,5
592ff05c45e6163b450c9193,A,8,Java,8,6,5,4
592ff28045e6163b450c9194,B,7,Java,8,6,6,4
592ff29845e6163b450c9195,B,8,Java,10,5,2,4
59300c4f45e6163b450c9197,A,7,Java,8,1,5,3
59301d7c45e6163b450c9199,A,6,Java,7,4,4,3
59301f4045e6163b450c919a,A,3,c,3,1,2,2
59303f0645e6163b450c919b,B,7,C,6,8,5,6
